WARD NAME,CONSTITUENCY,COUNTY NAME
RONGENA/MANARET,SOTIK,BOMET
ROYSAMBU,ROYSAMBU,NAIROBI
RUAI,KASARANI,NAIROBI
RUCHU,KANDARA,MURANG'A
RUGI,MUKURWEINI,NYERI
RUGURU,MATHIRA,NYERI
RUGURU/NGANDORI,MANYATTA,EMBU
RUIRI/RWARERA,BUURI,MERU
RUMA-KAKSINGRI,SUBA,HOMA BAY
RUMURUTI TOWNSHIP,LAIKIPIA WEST,LAIKIPIA
RURII,OL KALOU,NYANDARUA
RURING'U,NYERI TOWN,NYERI
RURUMA,RABAI,KILIFI
RUSINGA ISLAND,MBITA,HOMA BAY
RWARE,NYERI TOWN,NYERI
RWATHIA,KANGEMA,MURANG'A
SABAKI,MALINDI,KILIFI
SABENA,LAGDERA,GARISSA
SABOTI,SABOTI,TRANS NZOIA
SACHO,BARINGO CENTRAL,BARINGO
SAGALLA,VOI,TAITA TAVETA
SAGAMIAN,NAROK SOUTH,NAROK
SAGANTE/JALDESA,SAKU,MARSABIT
SAIMO/KIPSARAMAN,BARINGO NORTH,BARINGO
SAIMO/SOI,BARINGO NORTH,BARINGO
SAKA,BALAMBALA,GARISSA
SALA,BURA,TANA RIVER
SALAMA,LAIKIPIA WEST,LAIKIPIA
SAMBIRIR,MARAKWET EAST,ELGEYO-MARAKWET
SAMETA/MOKWERERO,BOBASI,KISII
SANGAILU,IJARA,GARISSA
SANGALO/KEBULONIK,MOSOP,NANDI
SANGO,LIKUYANI,KAKAMEGA
SANKURI,BALAMBALA,GARISSA
SARANGOMBE,KIBRA,NAIROBI
SARMAN,TARBAJ,WAJIR
SEGERA,LAIKIPIA NORTH,LAIKIPIA
SEGERO/BARSOMBE,SOY,UASIN GISHU
SEKERR,SIGOR,WEST POKOT
SENGWER,MARAKWET WEST,ELGEYO-MARAKWET
SENSI,KITUTU CHACHE NORTH,KISII
SERGOIT,MOIBEN,UASIN GISHU
SERICHO,ISIOLO SOUTH,ISIOLO
SHAABAB,NAKURU TOWN WEST,NAKURU
SHAMAKHOKHO,HAMISI,VIHIGA
SHAMATA,NDARAGWA,NYANDARUA
SHANKOE,KILGORIS,NAROK
SHANZU,KISAUNI,MOMBASA
SHAURIMOYO KALOLENI,KISUMU CENTRAL,KISUMU
SHELLA,MALINDI,KILIFI
SHELLA,LAMU WEST,LAMU
SHEYWE,LURAMBI,KAKAMEGA
SHIKA ADABU,LIKONI,MOMBASA
SHIMANZI/GANJONI,MVITA,MOMBASA
SHIMBIR FATUMA,MANDERA SOUTH,MANDERA
SHIMO LA TEWA,KILIFI SOUTH,KILIFI
SHINOYI-SHIKOMARI-ESUMEYIA,NAVAKHOLO,KAKAMEGA
SHIRERE,LURAMBI,KAKAMEGA
SHIRU,HAMISI,VIHIGA
SHIRUGU-MUGAI,MALAVA,KAKAMEGA
SIANA,NAROK WEST,NAROK
SIAYA TOWNSHIP,ALEGO USONGA,SIAYA
SIBOTI,BUMULA,BUNGOMA
SIDINDI,UGUNJA,SIAYA
SIGOMERE,UGUNJA,SIAYA
SIGONA,KIKUYU,KIAMBU
SIGOR,CHEPALUNGU,BOMET
SIGOWET,SIGOWET/SOIN,KERICHO
SIKHENDU,KIMININI,TRANS NZOIA
SILALE,TIATY,BARINGO
SILIBWET TOWNSHIP,BOMET CENTRAL,BOMET
SIMAT/KAPSERET,KAPSERET,UASIN GISHU
SINGORWET,BOMET CENTRAL,BOMET
SINOKO,LIKUYANI,KAKAMEGA
SINYERERE,CHERANGANY,TRANS NZOIA
SIONGIROI,CHEPALUNGU,BOMET
SIRENDE,KIMININI,TRANS NZOIA
SIRIKWA,KURESOI NORTH,NAKURU
SITATUNGA,CHERANGANY,TRANS NZOIA
SITIKHO,WEBUTE WEST,BUNGOMA
SIYOI,KAPENGURIA,WEST POKOT
SOGOO,NAROK SOUTH,NAROK
SOIN,SIGOWET/SOIN,KERICHO
SOIN,RONGAI,NAKURU
SOKOKE,GANZE,KILIFI
SOKONI,KILIFI NORTH,KILIFI
SOLAI,RONGAI,NAKURU
SOLIAT,SIGOWET/SOIN,KERICHO
SOLOLO,MOYALE,MARSABIT
SONGHOR/SOBA,TINDERET,NANDI
SONGOT,TURKANA WEST,TURKANA
SOOK,KAPENGURIA,WEST POKOT
SOSIAN,LAIKIPIA NORTH,LAIKIPIA
SOUTH BUKUSU,BUMULA,BUNGOMA
SOUTH C,LANGATA,NAIROBI
SOUTH EAST ALEGO,ALEGO USONGA,SIAYA
SOUTH EAST NYAKACH,NYAKACH,KISUMU
SOUTH GEM,GEM,SIAYA
SOUTH KABRAS,MALAVA,KAKAMEGA
SOUTH KAMAGAMBO,RONGO,MIGORI
SOUTH KANYAMKAGO,URIRI,MIGORI
SOUTH KASIPUL,KASIPUL,HOMA BAY
SOUTH MARAGOLI,VIHIGA,VIHIGA
SOUTH SAKWA,AWENDO,MIGORI
SOUTH SAKWA,BONDO,SIAYA
SOUTH UYOMA,RARIEDA,SIAYA
SOUTH WEST KISUMU,KISUMU WEST,KISUMU
SOUTH WEST NYAKACH,NYAKACH,KISUMU
SOY,SOY,UASIN GISHU
SOY NORTH,KEIYO SOUTH,ELGEYO-MARAKWET
SOY SOUTH,KEIYO SOUTH,ELGEYO-MARAKWET
SOYSAMBU/ MITUA,TONGAREN,BUNGOMA
SUAM,KACHELIBA,WEST POKOT
SUBUKIA,SUBUKIA,NAKURU
SUGUTA MARMAR,SAMBURU WEST,SAMBURU
SUNA CENTRAL,SUNA EAST,MIGORI
SUSWA,NAROK EAST,NAROK
SYOKIMAU/MULOLONGO,MAVOKO,MACHAKOS
TABAKA,SOUTH MUGIRANGO,KISII
TAGARE,KURIA WEST,MIGORI
TAKABA,MANDERA WEST,MANDERA
TAKABA SOUTH,MANDERA WEST,MANDERA
TALA,MATUNGULU,MACHAKOS
TAMBACH,KEIYO NORTH,ELGEYO-MARAKWET
TAMBUA,HAMISI,VIHIGA
TANGULBEI/KOROSSI,TIATY,BARINGO
TAPACH,POKOT SOUTH,WEST POKOT
TAPSAGOI,TURBO,UASIN GISHU
TARAKWA,KESSES,UASIN GISHU
TARBAJ,TARBAJ,WAJIR
TEBERE,MWEA,KIRINYAGA
TEBESONIK,BURETI,KERICHO
TEMBELIO,MOIBEN,UASIN GISHU
TENDENO/SORGET,KIPKELION EAST,KERICHO
TENGES,BARINGO CENTRAL,BARINGO
TERIK,ALDAI,NANDI
TEZO,KILIFI NORTH,KILIFI
THANGATHA,TIGANIA EAST,MERU
THANGE,KIBWEZI EAST,MAKUENI
THARAKA,MWINGI NORTH,KITUI
THEGU RIVER,KIENI,NYERI
THETA,JUJA,KIAMBU
THIBA,MWEA,KIRINYAGA
THINGITHU,LAIKIPIA EAST,LAIKIPIA
TIGITHI,LAIKIPIA EAST,LAIKIPIA
TIMAU,BUURI,MERU
TIMBWANI,LIKONI,MOMBASA
TINDIRET,TINDERET,NANDI
TINET,KURESOI SOUTH,NAKURU
TING'ANG'A,KIAMBU,KIAMBU
TIRIOKO,TIATY,BARINGO
TIWI,MATUGA,KWALE
TONGAREN,TONGAREN,BUNGOMA
TONONOKA,MVITA,MOMBASA
TOWNSHIP,KANDUYI,BUNGOMA
TOWNSHIP,GARISSA TOWNSHIP,GARISSA
TOWNSHIP,KIAMBU,KIAMBU
TOWNSHIP,THIKA TOWN,KIAMBU
TOWNSHIP,KITUI CENTRAL,KITUI
TOWNSHIP,MANDERA EAST,MANDERA
TOWNSHIP,KIHARU,MURANG'A
TOWNSHIP,WEST MUGIRANGO,NYAMIRA
TOWNSHIP,WAJIR EAST,WAJIR
TSEIKURU,MWINGI NORTH,KITUI
TSIMBA GOLINI,MATUGA,KWALE
TUDOR,MVITA,MOMBASA
TULIMANI,MBOONI,MAKUENI
TULWET/CHUIYAT,KESSES,UASIN GISHU
TURBI,NORTH HORR,MARSABIT
TURI,MOLO,NAKURU
TURKWEL,LOIMA,TURKANA
TUWANI,SABOTI,TRANS NZOIA
UGUNJA,UGUNJA,SIAYA
UKIA,KAITI,MAKUENI
UKUNDA,MSAMBWENI,KWALE
UKWALA,UGENYA,SIAYA
UMANDE,LAIKIPIA NORTH,LAIKIPIA
UMOJA I,EMBAKASI WEST,NAIROBI
UMOJA II,EMBAKASI WEST,NAIROBI
UPPER KAEWA/IVETI,KATHIANI,MACHAKOS
UPPER SAVANNAH,EMBAKASI EAST,NAIROBI
URAN,MOYALE,MARSABIT
USONGA,ALEGO USONGA,SIAYA
UTALII,RUARAKA,NAIROBI
UTAWALA,EMBAKASI EAST,NAIROBI
UTHIRU,KABETE,KIAMBU
UTHIRU/RUTHIMITU,DAGORETTI SOUTH,NAIROBI
VANGA,LUNGALUNGA,KWALE
VISOI,RONGAI,NAKURU
VIWANDANI,MAKADARA,NAIROBI
VIWANDANI,NAIVASHA,NAKURU
VOO/KYAMATU,KITUI EAST,KITUI
WAA,MATUGA,KWALE
WABERA,ISIOLO NORTH,ISIOLO
WABERI,GARISSA TOWNSHIP,GARISSA
WAGBERI,WAJIR EAST,WAJIR
WAIA-KAKO,MBOONI,MAKUENI
WAITA,MWINGI CENTRAL,KITUI
WAITALUK,KIMININI,TRANS NZOIA
WAITHAKA,DAGORETTI SOUTH,NAIROBI
WALDAI,BELGUT,KERICHO
WAMAGANA,TETU,NYERI
WAMBA EAST,SAMBURU EAST,SAMBURU
WAMBA NORTH,SAMBURU EAST,SAMBURU
WAMBA WEST,SAMBURU EAST,SAMBURU
WAMUMU,MWEA,KIRINYAGA
WAMUNYU,MWALA,MACHAKOS
WANGCHIENG,KARACHUONYO,HOMA BAY
WANGU,KIHARU,MURANG'A
WANJOHI,KIPIPIRI,NYANDARUA
WARANQARA,LAFEY,MANDERA
WARGADUD,MANDERA SOUTH,MANDERA
WARGADUD,TARBAJ,WAJIR
WASEGES,SUBUKIA,NAKURU
WASIMBETE,SUNA WEST,MIGORI
WASO,SAMBURU EAST,SAMBURU
WASWETA II,SUNA WEST,MIGORI
WATAMU,KILIFI NORTH,KILIFI
WAYU,GALOLE,TANA RIVER
WEIWEI,SIGOR,WEST POKOT
WEMILABI,LUANDA,VIHIGA
WERU,OL JOROK,NYANDARUA
WERUGHA,WUNDANYI,TAITA TAVETA
WEST ALEGO,ALEGO USONGA,SIAYA
WEST ASEMBO,RARIEDA,SIAYA
WEST BUKUSU,BUMULA,BUNGOMA
WEST BUNYORE,EMUHAYA,VIHIGA
WEST GEM,RANGWE,HOMA BAY
WEST GEM,GEM,SIAYA
WEST KABRAS,MALAVA,KAKAMEGA
WEST KAMAGAK,KASIPUL,HOMA BAY
WEST KANYAMKAGO,URIRI,MIGORI
WEST KARACHUONYO,KARACHUONYO,HOMA BAY
WEST KASIPUL,KASIPUL,HOMA BAY
WEST KISUMU,KISUMU WEST,KISUMU
WEST NALONDO,KABUCHAI,BUNGOMA
WEST NYAKACH,NYAKACH,KISUMU
WEST SABATIA,SABATIA,VIHIGA
WEST SAKWA,AWENDO,MIGORI
WEST SAKWA,BONDO,SIAYA
WEST SANG'ALO,KANDUYI,BUNGOMA
WEST SEME,SEME,KISUMU
WEST UGENYA,UGENYA,SIAYA
WEST UYOMA,RARIEDA,SIAYA
WEST YIMBO,BONDO,SIAYA
WIGA,SUNA WEST,MIGORI
WITEITHIE,JUJA,KIAMBU
WITU,LAMU WEST,LAMU
WODANGA,SABATIA,VIHIGA
WOODLEY/KENYATTA GOLF COURSE,KIBRA,NAIROBI
WOTE,MAKUENI,MAKUENI
WUMINGU/KISHUSHE,WUNDANYI,TAITA TAVETA
WUNDANYI/MBALE,WUNDANYI,TAITA TAVETA
WUSI/KISHAMBA,MWATATE,TAITA TAVETA
YALA TOWNSHIP,GEM,SIAYA
YIMBO EAST,BONDO,SIAYA
ZIMMERMAN,ROYSAMBU,NAIROBI
ZIWA,SOY,UASIN GISHU
ZIWA LA NG'OMBE,NYALI,MOMBASA
ZIWANI/KARIOKOR,STAREHE,NAIROBI
ZOMBE/MWITIKA,KITUI EAST,KITUI
